file,id,field,old,new,reason,date
records.csv,nmc-0688,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-0687,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-0683,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-0684,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-0686,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-0685,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-0690,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-0689,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-0691,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-0692,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-0693,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-0694,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1643,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1644,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1645,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1646,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1647,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1766,active_material_wt_pct,87.7,89.5,"extraction error (derived value): paper states 'CAM/SiO2/C65/PVDF ink composition of 89.5/5.0/4.0/3.5 (by weight)'; previous value was 89.5 renormalized over the 102 total, inconsistent with the unrenormalized 4.0 and 3.5; paper-stated value used",2026-09-17
records.csv,nmc-1766,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1754,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1768,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1770,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1756,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1753,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1765,active_material_wt_pct,87.7,89.5,"extraction error (derived value): paper states 'CAM/SiO2/C65/PVDF ink composition of 89.5/5.0/4.0/3.5 (by weight)'; previous value was 89.5 renormalized over the 102 total, inconsistent with the unrenormalized 4.0 and 3.5; paper-stated value used",2026-09-17
records.csv,nmc-1765,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1755,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1767,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1769,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1751,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1762,active_material_wt_pct,87.7,89.5,"extraction error (derived value): paper states 'CAM/SiO2/C65/PVDF ink composition of 89.5/5.0/4.0/3.5 (by weight)'; previous value was 89.5 renormalized over the 102 total, inconsistent with the unrenormalized 4.0 and 3.5; paper-stated value used",2026-09-17
records.csv,nmc-1762,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1764,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1752,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1749,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1761,active_material_wt_pct,87.7,89.5,"extraction error (derived value): paper states 'CAM/SiO2/C65/PVDF ink composition of 89.5/5.0/4.0/3.5 (by weight)'; previous value was 89.5 renormalized over the 102 total, inconsistent with the unrenormalized 4.0 and 3.5; paper-stated value used",2026-09-17
records.csv,nmc-1761,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1763,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1750,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1747,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1748,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1596,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1594,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1600,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1602,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1478,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1479,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
records.csv,nmc-1481,source_license,CC-BY-4.0,cc-by-4.0,license identifier lowercased,2026-09-17
